video_id,chaine,abonnes,publiee,url,entite,signaux,types_signaux,force,indices_commerciaux,extrait
twvoa515oTQ,VICE,19200000,2024-11-15,https://www.youtube.com/watch?v=twvoa515oTQ,President,President,nom de marque,faible,,"…ud misogynists—and they were all brought together to sway the ‘Bro Vote’ by the president-elect’s secret weapon: his 6 foot 9, 18-year-old son, Barron. ⏎  ⏎ In response, many women—fearing the loss of birth control rights and dismayed by a…"
9SNYoybaEec,Norman,11200000,2022-06-23,https://www.youtube.com/watch?v=9SNYoybaEec,Marie,Marie,nom de marque,faible,,"VLOG en Côte d'Ivoire (et mon père se marie) ⏎ Concours: https://coke.onelink.me/lqlk/1w6fd3kk ⏎  ⏎ Ce voyage a été la fusion de beaucoup d’émotions : l’amour, la découverte, la famille, les moments de rires, de joie, les rencontres, le parta…"
yaXTT2RugQo,Norman,11200000,2019-06-21,https://www.youtube.com/watch?v=yaXTT2RugQo,Marie,Marie,nom de marque,faible,,…: Charline Graffeuil  ⏎ Maquilleuse : Elodie Muller  ⏎ Régisseur Général : Jean-Marie Le Bihan  ⏎ Monteur / Etalonneur : Romain Vitiello  ⏎ Mixeur : Maxime Bahlis  ⏎  ⏎ Papa : Norman  ⏎ Maman : Audrey Pirault  ⏎ Pote 1 : Paul Deby  ⏎ Pote 2…
4PsVQ8TFzcM,Norman,11200000,2018-12-20,https://www.youtube.com/watch?v=4PsVQ8TFzcM,Marie,Marie,nom de marque,faible,remerciement,"…Andrea, Anthony, Blanche, Camille, Carole, David, Elise,  Elodie, Florian, Jean-Marie, Laura, Marion, Maxime, Stanislas et Valentine. ⏎  ⏎ Ainsi qu'à Miche, Titouch et Akim !"
5IqARGgl2iE,Norman,11200000,2018-09-22,https://www.youtube.com/watch?v=5IqARGgl2iE,Marie,Marie,nom de marque,faible,remerciement,…ateur : Antoine Barillot ⏎ Chef OPV : Pierre-Alexis Morilhas ⏎ Assistante OPV : Marie Landon ⏎ Directrice de production : Blanche Martin ⏎ Renfort production : Agnès Lepeu ⏎ Ingénieur du son : Maxime Bahlis ⏎ Chef décoratrice : Stéphanie Ha…
teNNDQ8fT8c,Norman,11200000,2018-09-16,https://www.youtube.com/watch?v=teNNDQ8fT8c,Marie,Marie,nom de marque,faible,remerciement,…ateur : Antoine Barillot ⏎ Chef OPV : Pierre-Alexis Morilhas ⏎ Assistante OPV : Marie Landon ⏎ Directrice de production : Blanche Martin ⏎ Renfort production : Agnès Lepeu ⏎ Ingénieur du son : Maxime Bahlis ⏎ Chef décoratrice : Stéphanie Ha…
2yHn8uc5_-4,Norman,11200000,2014-01-03,https://www.youtube.com/watch?v=2yHn8uc5_-4,Marie,Marie,nom de marque,faible,remerciement,"…ttps://www.facebook.com/vanessaguideofficiel ⏎  ⏎ Mais aussi à Jennifer Moutou, Marie Valero, Laura Kadédoudi et au Casino de Paris ! ⏎  ⏎ Zik du milieu: Stuck in the sound - Toy boy ⏎ Zik de fin: The Last Target - Salut Maurice ⏎  ⏎ .SWAG…"
4EKOpbZVoVs,Michou,11000000,2026-06-15,https://www.youtube.com/watch?v=4EKOpbZVoVs,Marie,Marie,nom de marque,faible,,JE SUIS MARIÉ 🤯 #michou #lasvegas
8TcU1BpLgr8,Michou,11000000,2024-11-24,https://www.youtube.com/watch?v=8TcU1BpLgr8,Marie,Marie,nom de marque,faible,collaboration | partenariat | remerciement | sponsor,…s : Stéphanie Jimenez-Rosa ⏎ • Manager : Mehdi Boum ⏎ • Chargée de production : Marie Jegou ⏎ • Auteure : Violette Jan ⏎ • Graphiste : Soizic Trehin ⏎ • Production exécutive : Digital Nak ⏎  ⏎ LEGO Group : ⏎ • Senior Brand Relations Manager…
kWsbyaRn2w0,Michou,11000000,2024-07-28,https://www.youtube.com/watch?v=kWsbyaRn2w0,Loue,Loue,nom de marque,faible,,"…ns cette video on s’est fait un Cache Cache IRL Grandeur Nature, j’ai carrément loué un Village entier dans le theme du Far West ! Donc avec Raska, Nicotine, Doigby et Elsa on s’est caché dans un enorme village western pour ce cache cache g…"
